date,pluie,delta,skylight,gt_48hr
2015-03-02 00:46:21.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 00:51:23.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 00:56:24.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 01:01:26.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 01:06:27.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 01:11:29.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 01:16:30.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 01:21:32.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 01:26:34.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 01:31:35.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 01:36:35.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 01:41:35.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 01:46:37.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 01:51:39.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 01:56:39.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 02:01:40.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:06:40.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 02:11:41.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:16:42.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:21:43.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:26:44.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:31:45.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:36:46.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:41:47.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 02:46:47.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 02:51:49.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 02:56:49.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 03:01:50.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 03:06:51.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 03:11:52.000,0,0 days 00:05:01,NIGHT,False
